area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Under Construction,Indira Nagar,1 BHK,Society B,898,4,1,7724.78
Built-up  Area,Under Construction,Jayanagar,1 BHK,Society A,1161,3,0,6685.61
Carpet  Area,Ready To Move,Jayanagar,5 Bedroom,Society A,1870,5,2,11582.05
Super built-up  Area,Immediate Possession,Koramangala,5 BHK,Society C,1793,4,0,15054.71
Carpet  Area,Under Construction,Jayanagar,4 BHK,Society C,930,1,1,7121.68
Plot  Area,Under Construction,Marathahalli,1 BHK,Society A,1133,2,1,7355.61
Carpet  Area,Under Construction,Koramangala,5 Bedroom,Society E,1354,4,1,8126.26
Carpet  Area,Ready To Move,Koramangala,3 Bedroom,Society C,1316,4,0,11546.82
Plot  Area,Ready To Move,HSR Layout,3 Bedroom,Society A,1471,3,0,9567.58
Plot  Area,Ready To Move,Marathahalli,4 BHK,Society A,1665,2,2,7841.88
Carpet  Area,Under Construction,Whitefield,3 Bedroom,Society A,1520,4,1,10094.47
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Society C,1800,4,0,8349.59
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society C,1493,1,3,14241.66
Plot  Area,Ready To Move,HSR Layout,2 BHK,Society D,1322,3,3,11092.13
Super built-up  Area,Under Construction,Electronic City,1 Bedroom,Society B,1463,3,2,5408.52
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society C,1214,4,1,4264.05
Built-up  Area,Under Construction,Electronic City,3 BHK,Society E,904,5,3,2993.89
Plot  Area,Under Construction,Indira Nagar,2 BHK,Society E,1005,2,3,8779.78
Carpet  Area,Ready To Move,Indira Nagar,5 BHK,Society B,1381,2,0,7382.47
Plot  Area,Under Construction,Indira Nagar,5 Bedroom,Society C,1107,2,0,7775.79
Super built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society D,1056,3,0,5104.73
Plot  Area,Immediate Possession,BTM Layout,1 Bedroom,Society B,779,4,2,4178.0
Carpet  Area,Ready To Move,Marathahalli,5 Bedroom,Society D,1804,3,2,7586.74
Carpet  Area,Immediate Possession,HSR Layout,3 Bedroom,Society C,1116,3,0,6671.08
Built-up  Area,Under Construction,Koramangala,5 Bedroom,Society D,1242,5,2,12559.4
Plot  Area,Ready To Move,Jayanagar,2 Bedroom,Society E,1532,2,0,10259.17
Built-up  Area,Immediate Possession,Whitefield,4 BHK,Society B,1173,5,2,4599.5
Carpet  Area,Under Construction,Whitefield,4 BHK,Society A,1891,5,0,13284.98
Carpet  Area,Immediate Possession,Koramangala,4 Bedroom,Society E,1400,5,3,13797.13
Built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society D,1916,2,2,14199.02
Plot  Area,Under Construction,Marathahalli,3 BHK,Society E,1078,3,0,5708.36
Built-up  Area,Ready To Move,BTM Layout,2 Bedroom,Society D,1181,2,1,8459.1
Built-up  Area,Immediate Possession,Indira Nagar,2 BHK,Society D,1254,2,0,9703.71
Built-up  Area,Immediate Possession,Whitefield,3 BHK,Society D,1280,2,0,7234.11
Carpet  Area,Under Construction,BTM Layout,2 Bedroom,Society B,1023,3,1,6673.27
Super built-up  Area,Under Construction,Marathahalli,1 BHK,Society C,630,4,2,2220.05
Plot  Area,Ready To Move,HSR Layout,5 BHK,Society E,1350,3,0,6668.71
Carpet  Area,Immediate Possession,Jayanagar,3 Bedroom,Society B,982,3,2,8197.6
Carpet  Area,Under Construction,HSR Layout,2 BHK,Society C,750,4,0,4419.7
Built-up  Area,Immediate Possession,BTM Layout,4 BHK,Society E,1505,5,3,7669.4
Super built-up  Area,Under Construction,Jayanagar,3 BHK,Society E,1274,1,2,9189.99
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Society B,1092,4,3,5354.65
Plot  Area,Immediate Possession,HSR Layout,5 Bedroom,Society D,1490,5,2,11045.21
Plot  Area,Ready To Move,BTM Layout,5 BHK,Society C,1451,4,2,6613.38
Super built-up  Area,Under Construction,Jayanagar,2 BHK,Society E,1021,2,1,6138.56
Plot  Area,Under Construction,Marathahalli,3 Bedroom,Society E,1020,3,0,5305.65
Built-up  Area,Ready To Move,HSR Layout,3 BHK,Society A,1751,4,1,10523.28
Carpet  Area,Immediate Possession,HSR Layout,1 Bedroom,Society C,643,3,1,3525.32
Carpet  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society C,1989,4,2,14446.74
Carpet  Area,Immediate Possession,Electronic City,3 Bedroom,Society E,1394,4,3,7406.65
Super built-up  Area,Immediate Possession,BTM Layout,1 BHK,Society B,692,3,1,4226.71
Plot  Area,Immediate Possession,Marathahalli,2 BHK,Society A,1305,3,2,4796.0
Carpet  Area,Ready To Move,Whitefield,2 BHK,Society B,1044,5,0,5444.13
Carpet  Area,Immediate Possession,Whitefield,1 Bedroom,Society B,1305,1,0,8608.15
Built-up  Area,Immediate Possession,BTM Layout,1 Bedroom,Society E,1107,1,1,5261.79
Built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society C,1548,3,2,9390.65
Plot  Area,Ready To Move,BTM Layout,3 Bedroom,Society D,1140,1,3,5919.08
Super built-up  Area,Immediate Possession,BTM Layout,5 BHK,Society A,1286,2,1,7744.33
Plot  Area,Ready To Move,BTM Layout,1 Bedroom,Society B,1590,4,3,12106.43
Carpet  Area,Under Construction,HSR Layout,5 BHK,Society E,1126,4,3,5924.93
Plot  Area,Under Construction,BTM Layout,3 Bedroom,Society B,1154,1,1,5857.6
Plot  Area,Immediate Possession,Jayanagar,4 BHK,Society C,1297,2,2,10814.35
Super built-up  Area,Under Construction,BTM Layout,2 BHK,Society A,897,4,1,4345.03
Carpet  Area,Immediate Possession,HSR Layout,1 Bedroom,Society C,864,5,0,6760.64
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society C,1997,2,1,10390.47
Plot  Area,Immediate Possession,Electronic City,4 BHK,Society A,1767,3,3,10021.07
Plot  Area,Immediate Possession,Jayanagar,2 BHK,Society C,1122,2,2,9817.47
Carpet  Area,Under Construction,Indira Nagar,1 Bedroom,Society A,1400,3,3,12038.52
Carpet  Area,Ready To Move,Koramangala,3 Bedroom,Society A,1350,4,2,8000.91
Plot  Area,Immediate Possession,BTM Layout,2 BHK,Society C,1154,2,0,7863.75
Super built-up  Area,Immediate Possession,Jayanagar,4 Bedroom,Society B,1581,3,1,8506.1
Plot  Area,Under Construction,Electronic City,4 Bedroom,Society E,907,1,0,3867.69
Plot  Area,Under Construction,Indira Nagar,3 Bedroom,Society C,1684,4,2,13672.38
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Society D,1005,3,3,4918.77
Super built-up  Area,Under Construction,Koramangala,5 Bedroom,Society A,1738,4,3,13598.12
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1809,3,3,9912.28
Carpet  Area,Under Construction,BTM Layout,2 BHK,Society B,749,5,3,3289.21
Carpet  Area,Under Construction,Indira Nagar,2 Bedroom,Society E,1164,2,2,6527.17
Built-up  Area,Under Construction,Indira Nagar,5 BHK,Society C,1350,1,3,8831.04
Plot  Area,Immediate Possession,Jayanagar,2 BHK,Society A,1063,4,1,8686.91
Plot  Area,Ready To Move,Indira Nagar,2 BHK,Society E,1362,3,2,11571.66
Carpet  Area,Ready To Move,Whitefield,2 Bedroom,Society B,1257,4,3,8398.74
Plot  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society D,1202,2,2,7070.23
Plot  Area,Ready To Move,Marathahalli,1 BHK,Society B,1124,1,3,5742.88
Carpet  Area,Ready To Move,Electronic City,4 BHK,Society D,942,5,2,3476.9
Super built-up  Area,Immediate Possession,Indira Nagar,2 BHK,Society E,992,2,1,9280.5
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society C,1438,3,3,5391.12
Plot  Area,Ready To Move,BTM Layout,2 Bedroom,Society A,1357,3,2,10327.21
Carpet  Area,Ready To Move,Whitefield,4 BHK,Society B,1494,1,1,6336.6
Built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,1388,4,2,6404.3
Carpet  Area,Ready To Move,Koramangala,5 BHK,Society C,1458,4,0,12052.19
Plot  Area,Immediate Possession,BTM Layout,5 BHK,Society A,1858,3,1,10560.82
Built-up  Area,Immediate Possession,Jayanagar,4 BHK,Society E,955,4,3,8532.49
Built-up  Area,Immediate Possession,Koramangala,5 BHK,Society C,1901,4,0,18383.05
Carpet  Area,Under Construction,Jayanagar,4 BHK,Society C,1730,3,0,14016.64
Super built-up  Area,Under Construction,Whitefield,4 Bedroom,Society B,1557,3,2,10675.53
Super built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society C,1790,4,3,13662.76
Plot  Area,Immediate Possession,Indira Nagar,5 BHK,Society B,1738,4,3,10848.47
Super built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1251,2,2,7893.61
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society B,1300,3,3,9002.37
Built-up  Area,Under Construction,Electronic City,3 Bedroom,Society D,910,1,1,4041.02
Super built-up  Area,Under Construction,Jayanagar,1 BHK,Society E,1581,4,3,7803.31
Carpet  Area,Under Construction,Jayanagar,1 Bedroom,Society A,795,5,2,6926.09
Plot  Area,Under Construction,Jayanagar,1 Bedroom,Society B,769,1,1,6568.39
Plot  Area,Immediate Possession,Indira Nagar,1 BHK,Society B,1025,5,3,7464.81
Plot  Area,Under Construction,Jayanagar,1 BHK,Society E,878,1,3,7092.95
Super built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society E,775,3,0,4672.74
Carpet  Area,Under Construction,Koramangala,3 BHK,Society C,817,3,3,4834.09
Plot  Area,Under Construction,Indira Nagar,3 BHK,Society C,1305,1,0,9182.65
Built-up  Area,Under Construction,Electronic City,3 Bedroom,Society B,1021,4,0,4284.94
Super built-up  Area,Immediate Possession,Koramangala,2 Bedroom,Society C,838,5,0,5448.74
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society C,1362,1,3,7941.56
Super built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1485,4,3,9746.54
Carpet  Area,Ready To Move,Jayanagar,3 Bedroom,Society D,1049,5,2,8968.28
Carpet  Area,Ready To Move,Jayanagar,4 BHK,Society C,1870,1,2,10500.28
Plot  Area,Under Construction,BTM Layout,3 BHK,Society E,1090,1,0,4978.74
Built-up  Area,Under Construction,HSR Layout,1 BHK,Society E,723,4,2,4065.79
Super built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society C,1146,4,2,5987.77
Carpet  Area,Ready To Move,Electronic City,2 BHK,Society C,989,2,3,3484.95
Plot  Area,Immediate Possession,Electronic City,3 Bedroom,Society A,808,4,0,2955.53
Carpet  Area,Ready To Move,BTM Layout,1 Bedroom,Society A,710,2,1,3118.74
Carpet  Area,Immediate Possession,HSR Layout,5 BHK,Society B,1947,3,0,9969.32
Carpet  Area,Ready To Move,Jayanagar,1 Bedroom,Society A,1081,5,1,7038.75
Plot  Area,Ready To Move,Koramangala,2 Bedroom,Society B,1498,5,2,12889.27
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society D,1047,2,1,9409.4
Carpet  Area,Immediate Possession,HSR Layout,4 Bedroom,Society C,1688,4,3,9678.59
Plot  Area,Immediate Possession,Jayanagar,4 Bedroom,Society A,1644,2,1,12517.84
Plot  Area,Under Construction,Koramangala,1 Bedroom,Society B,1231,1,2,12605.35
Built-up  Area,Immediate Possession,Marathahalli,4 BHK,Society D,943,3,3,4830.78
Built-up  Area,Ready To Move,Electronic City,2 BHK,Society B,1328,3,3,5233.89
Built-up  Area,Ready To Move,Jayanagar,5 BHK,Society D,1354,2,1,9748.9
Built-up  Area,Under Construction,BTM Layout,3 Bedroom,Society A,1264,4,1,8505.34
Carpet  Area,Ready To Move,Jayanagar,5 BHK,Society D,1869,4,1,13251.34
Built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society A,814,3,0,3738.05
Plot  Area,Under Construction,Marathahalli,5 BHK,Society E,1081,1,1,4895.01
Plot  Area,Immediate Possession,Koramangala,2 BHK,Society E,1261,5,3,10204.87
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society A,1571,3,0,10148.61
Super built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society A,1448,5,1,7871.11
Built-up  Area,Immediate Possession,Jayanagar,4 Bedroom,Society A,976,3,2,5152.56
Super built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society C,1693,4,2,13384.48
Super built-up  Area,Ready To Move,Jayanagar,1 Bedroom,Society E,1599,4,3,8117.68
Carpet  Area,Under Construction,Whitefield,1 BHK,Society D,645,1,2,3399.84
Super built-up  Area,Immediate Possession,Koramangala,5 BHK,Society A,1578,3,0,9748.96
Built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society E,1629,2,0,6528.08
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society C,863,3,2,3939.58
Carpet  Area,Under Construction,Jayanagar,1 BHK,Society C,1326,4,0,9453.79
Plot  Area,Immediate Possession,Marathahalli,2 Bedroom,Society E,1699,1,3,9464.87
Plot  Area,Immediate Possession,Whitefield,3 Bedroom,Society B,1695,1,1,11285.87
Built-up  Area,Under Construction,Indira Nagar,3 BHK,Society B,1354,2,3,7566.0
Carpet  Area,Under Construction,Electronic City,5 Bedroom,Society B,1896,3,0,6773.04
Super built-up  Area,Under Construction,Indira Nagar,4 BHK,Society D,1349,1,3,12881.28
Carpet  Area,Under Construction,Jayanagar,5 Bedroom,Society C,1861,3,3,10641.98
Carpet  Area,Ready To Move,BTM Layout,3 Bedroom,Society C,1667,4,2,9109.56
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society A,1463,3,1,8744.45
Plot  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society B,1276,4,3,9950.0
Built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society E,1395,2,3,10174.94
Built-up  Area,Immediate Possession,Electronic City,1 BHK,Society E,1399,2,0,7069.29
Built-up  Area,Under Construction,Electronic City,5 Bedroom,Society B,1711,1,3,5895.24
Carpet  Area,Under Construction,Indira Nagar,2 Bedroom,Society B,938,2,1,6784.67
Super built-up  Area,Ready To Move,HSR Layout,5 BHK,Society E,1021,3,2,7225.07
Plot  Area,Immediate Possession,HSR Layout,5 BHK,Society B,1448,2,0,8823.6
Built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society E,1448,2,3,5979.84
Carpet  Area,Immediate Possession,HSR Layout,5 BHK,Society A,1239,3,2,9270.77
Built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society D,967,4,2,5009.2
Carpet  Area,Ready To Move,Jayanagar,3 BHK,Society A,1131,1,2,9802.6
Plot  Area,Ready To Move,Whitefield,1 BHK,Society E,1575,5,2,9242.5
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society A,1764,2,3,13008.63
Carpet  Area,Immediate Possession,Indira Nagar,5 BHK,Society D,1594,4,1,8415.29
Super built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society E,1199,1,0,5574.39
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society D,1152,1,0,7766.36
Carpet  Area,Immediate Possession,Koramangala,5 Bedroom,Society E,1581,4,2,9642.86
Super built-up  Area,Ready To Move,Whitefield,1 Bedroom,Society D,700,1,1,2948.87
Built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society B,1259,2,2,6685.82
Carpet  Area,Under Construction,Electronic City,4 Bedroom,Society D,1244,3,0,4508.94
Built-up  Area,Immediate Possession,Whitefield,1 BHK,Society A,623,2,0,3500.94
Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society D,1516,5,2,7586.11
Carpet  Area,Ready To Move,BTM Layout,5 Bedroom,Society A,1630,4,3,12308.67
Super built-up  Area,Under Construction,Indira Nagar,5 BHK,Society C,1028,2,1,9196.25
Super built-up  Area,Immediate Possession,Marathahalli,5 Bedroom,Society A,1964,5,3,7452.34
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society D,1097,5,1,5843.76
Plot  Area,Under Construction,Jayanagar,2 BHK,Society E,1253,1,0,8235.95
Built-up  Area,Immediate Possession,HSR Layout,1 Bedroom,Society E,1042,1,0,8633.11
Carpet  Area,Under Construction,Whitefield,2 BHK,Society A,1540,1,1,9935.35
Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society D,1318,4,1,6411.97
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society C,1320,2,2,6102.54
Built-up  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,1332,4,3,8373.71
Plot  Area,Under Construction,Whitefield,3 BHK,Society C,1712,5,3,10968.25
Plot  Area,Immediate Possession,Indira Nagar,3 BHK,Society C,1030,2,3,6941.77
Super built-up  Area,Immediate Possession,Electronic City,1 BHK,Society E,672,1,3,2539.49
Built-up  Area,Immediate Possession,Jayanagar,1 BHK,Society A,691,5,2,3432.13
Super built-up  Area,Under Construction,HSR Layout,1 BHK,Society C,1578,2,1,7186.03
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1040,2,1,9146.5
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society A,1108,1,2,6848.32
Super built-up  Area,Ready To Move,Electronic City,3 Bedroom,Society B,1489,4,2,7880.28
Super built-up  Area,Ready To Move,Jayanagar,2 Bedroom,Society A,1466,4,2,11230.63
Built-up  Area,Immediate Possession,Koramangala,2 Bedroom,Society C,1212,1,2,7104.18
Carpet  Area,Under Construction,Koramangala,2 Bedroom,Society E,828,3,2,6426.95
Plot  Area,Ready To Move,Electronic City,2 Bedroom,Society A,1044,2,1,5360.81
Super built-up  Area,Under Construction,Indira Nagar,1 BHK,Society C,1433,1,2,8578.47
Plot  Area,Immediate Possession,Marathahalli,5 Bedroom,Society E,1695,5,0,9715.74
Carpet  Area,Under Construction,Koramangala,5 BHK,Society B,1166,4,0,11465.21
Plot  Area,Under Construction,Electronic City,2 BHK,Society B,1696,2,2,5450.49
Built-up  Area,Under Construction,HSR Layout,1 BHK,Society D,707,2,1,3783.97
Built-up  Area,Under Construction,Koramangala,1 Bedroom,Society E,863,5,3,4845.69
Built-up  Area,Immediate Possession,Whitefield,3 BHK,Society D,855,2,2,4543.57
Plot  Area,Under Construction,Jayanagar,5 Bedroom,Society A,1876,1,2,9521.78
Built-up  Area,Immediate Possession,Jayanagar,3 Bedroom,Society D,1266,2,1,8172.02
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society D,660,5,3,3587.8
Carpet  Area,Ready To Move,BTM Layout,4 BHK,Society E,1228,1,1,7416.41
Super built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society D,1406,2,3,11872.14
Carpet  Area,Under Construction,Marathahalli,3 BHK,Society C,1622,5,1,8093.65
Super built-up  Area,Ready To Move,Jayanagar,4 Bedroom,Society C,942,2,1,5581.28
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society D,1687,3,0,11692.49
Plot  Area,Immediate Possession,Whitefield,4 BHK,Society C,1260,3,1,7387.99
Plot  Area,Under Construction,Koramangala,3 BHK,Society B,962,4,0,5887.76
Plot  Area,Immediate Possession,Koramangala,4 BHK,Society B,972,2,2,6141.62
Plot  Area,Under Construction,BTM Layout,4 Bedroom,Society A,1451,4,2,7704.42
Super built-up  Area,Under Construction,Electronic City,3 Bedroom,Society E,1554,4,3,5765.11
Carpet  Area,Under Construction,BTM Layout,5 Bedroom,Society B,1084,1,1,5980.33
Plot  Area,Ready To Move,BTM Layout,1 Bedroom,Society D,1114,4,2,7784.82
Built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society A,965,1,3,7020.13
Super built-up  Area,Under Construction,HSR Layout,5 BHK,Society B,1375,3,0,9019.39
Carpet  Area,Under Construction,Electronic City,2 BHK,Society A,1160,5,0,6331.91
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society B,1215,2,1,8589.32
Plot  Area,Ready To Move,Koramangala,3 BHK,Society C,1281,3,1,8316.13
Super built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society E,1583,3,0,7267.74
Plot  Area,Under Construction,Marathahalli,4 Bedroom,Society D,1341,1,3,7481.74
Super built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society C,1234,3,0,7149.13
Built-up  Area,Ready To Move,Jayanagar,3 Bedroom,Society A,1313,4,3,9803.57
Carpet  Area,Immediate Possession,Electronic City,5 BHK,Society B,1928,4,2,8426.9
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Society B,966,5,1,3358.01
Plot  Area,Ready To Move,Indira Nagar,3 BHK,Society B,1576,5,0,9137.07
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society A,1588,4,2,11909.56
Carpet  Area,Under Construction,Jayanagar,4 Bedroom,Society D,1753,4,1,10939.83
Plot  Area,Under Construction,Jayanagar,5 BHK,Society D,1735,3,3,15415.66
Super built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society A,1409,2,0,9179.93
Plot  Area,Ready To Move,Marathahalli,4 BHK,Society A,1772,2,0,9357.47
Plot  Area,Under Construction,Koramangala,2 Bedroom,Society A,734,3,2,6030.22
Built-up  Area,Under Construction,Indira Nagar,3 BHK,Society A,1346,3,3,10952.65
Super built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society E,1687,1,2,10573.99
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society A,1400,3,2,8574.75
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society C,1683,1,0,10266.74
Super built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society B,723,1,0,3534.29
Plot  Area,Under Construction,Koramangala,2 Bedroom,Society C,1438,3,3,11001.37
Plot  Area,Under Construction,Indira Nagar,3 BHK,Society B,1099,3,2,6228.97
Built-up  Area,Ready To Move,BTM Layout,1 BHK,Society A,624,4,0,3469.62
Carpet  Area,Ready To Move,Marathahalli,5 Bedroom,Society E,1405,2,0,7655.81
Plot  Area,Immediate Possession,Jayanagar,4 Bedroom,Society A,1272,1,3,6570.36
Plot  Area,Under Construction,Whitefield,1 BHK,Society B,1004,5,1,4189.24
Super built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society D,1008,5,1,8807.45
Built-up  Area,Ready To Move,Koramangala,2 BHK,Society A,957,4,1,9376.21
Carpet  Area,Immediate Possession,Jayanagar,5 BHK,Society E,1042,5,1,7337.23
Carpet  Area,Immediate Possession,Whitefield,2 BHK,Society C,1160,2,3,7080.24
Super built-up  Area,Under Construction,Jayanagar,5 Bedroom,Society C,1443,1,2,9537.66
Plot  Area,Ready To Move,BTM Layout,4 Bedroom,Society A,1891,3,1,9069.29
Built-up  Area,Immediate Possession,Jayanagar,4 Bedroom,Society E,1774,4,2,13990.35
Carpet  Area,Under Construction,Marathahalli,1 BHK,Society A,1248,2,2,4982.9
Carpet  Area,Under Construction,Electronic City,5 Bedroom,Society D,1839,1,2,10417.24
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society C,1584,3,2,7756.79
Plot  Area,Ready To Move,Indira Nagar,1 Bedroom,Society D,648,2,3,4488.92
Carpet  Area,Under Construction,Electronic City,5 BHK,Society D,1525,2,2,5309.7
Super built-up  Area,Immediate Possession,Whitefield,3 BHK,Society C,1432,2,3,8828.72
Super built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society E,1003,1,1,6574.15
Carpet  Area,Under Construction,Jayanagar,4 BHK,Society A,1403,3,1,9131.15
Plot  Area,Immediate Possession,Indira Nagar,1 BHK,Society C,1289,1,3,8106.13
Carpet  Area,Ready To Move,Electronic City,5 Bedroom,Society C,1346,2,2,6501.19
Plot  Area,Immediate Possession,BTM Layout,1 BHK,Society E,992,1,0,6815.07
Plot  Area,Under Construction,Electronic City,3 BHK,Society C,1031,3,3,4539.73
Carpet  Area,Immediate Possession,Marathahalli,5 BHK,Society C,1469,5,0,8915.8
Carpet  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society D,1090,5,2,7193.52
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Society B,1270,3,0,7750.89
Plot  Area,Under Construction,HSR Layout,1 BHK,Society E,1505,5,0,7386.67
Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society B,1769,2,3,10016.18
Super built-up  Area,Under Construction,Whitefield,3 BHK,Society E,981,1,1,6912.15
Built-up  Area,Immediate Possession,HSR Layout,2 Bedroom,Society A,1687,2,2,13794.91
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society E,1447,4,0,9670.93
Plot  Area,Immediate Possession,Indira Nagar,1 Bedroom,Society C,1234,3,0,9508.41
Super built-up  Area,Under Construction,Marathahalli,4 BHK,Society C,1454,5,0,5317.24
Plot  Area,Immediate Possession,BTM Layout,5 BHK,Society C,1235,1,3,8520.56
Super built-up  Area,Under Construction,HSR Layout,1 Bedroom,Society C,1374,1,2,9478.51
Plot  Area,Immediate Possession,Koramangala,4 Bedroom,Society B,1222,1,3,9779.05
Plot  Area,Immediate Possession,Indira Nagar,4 BHK,Society E,1044,5,0,8484.77
Plot  Area,Immediate Possession,Whitefield,1 Bedroom,Society C,1483,2,0,9351.64
Super built-up  Area,Immediate Possession,Electronic City,1 BHK,Society D,1363,3,2,5117.48
Plot  Area,Ready To Move,BTM Layout,4 Bedroom,Society A,1379,5,0,9513.98
Super built-up  Area,Ready To Move,Koramangala,5 Bedroom,Society B,1993,3,1,12888.8
Carpet  Area,Immediate Possession,Marathahalli,2 Bedroom,Society C,1425,5,2,7991.0
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society D,1397,5,0,4890.09
Super built-up  Area,Immediate Possession,Whitefield,3 BHK,Society B,1725,3,3,7917.38
Carpet  Area,Under Construction,Marathahalli,4 BHK,Society E,1640,1,2,7210.64
Built-up  Area,Under Construction,BTM Layout,5 BHK,Society D,1430,4,2,7708.57
Built-up  Area,Ready To Move,Marathahalli,4 BHK,Society B,1520,2,2,8664.95
Super built-up  Area,Under Construction,BTM Layout,1 BHK,Society A,1498,1,3,11669.64
Carpet  Area,Immediate Possession,Electronic City,5 Bedroom,Society B,1216,5,1,4020.1
Built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society E,1361,2,2,10705.41
Built-up  Area,Ready To Move,Marathahalli,4 BHK,Society B,1455,2,0,6511.44
Super built-up  Area,Under Construction,BTM Layout,1 BHK,Society D,1435,4,2,8039.01
Carpet  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,1164,5,1,4506.37
Built-up  Area,Ready To Move,Marathahalli,1 BHK,Society E,1212,1,1,4369.82
Plot  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society D,1539,1,3,8902.55
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Society A,1661,4,1,6746.58
Carpet  Area,Under Construction,BTM Layout,4 Bedroom,Society E,1465,5,0,8065.33
Built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society A,1408,2,3,7745.24
Super built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society A,1160,3,2,6933.98
Carpet  Area,Under Construction,HSR Layout,4 BHK,Society A,1177,3,2,9386.67
Super built-up  Area,Under Construction,Whitefield,5 BHK,Society D,1886,4,1,11267.73
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society A,1175,4,2,9789.63
Built-up  Area,Immediate Possession,Whitefield,4 BHK,Society A,1443,2,0,8602.34
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Society A,1417,5,0,5929.38
Plot  Area,Immediate Possession,Marathahalli,5 Bedroom,Society C,1939,4,1,11606.14
Super built-up  Area,Under Construction,Indira Nagar,1 Bedroom,Society D,902,3,3,7194.1
Plot  Area,Under Construction,Whitefield,5 BHK,Society A,1993,4,2,10176.94
Carpet  Area,Ready To Move,BTM Layout,4 BHK,Society A,1263,2,1,9482.87
